Item number,Name,Brand,Modul,Cost Value,november,december,januar,februar,marts,april,maj,juni,juli,august,september,oktober,Total
47815,Funko! POP VINYL Avengers Game Taskmaster,Funko!,Stock,27.32583,12,12,12.0,12.0,12,12.0,12,12.0,12,12,12,12,12.0
47862,Funko! POP VINYL Creepshow The Creep,Funko!,SalgsOrdre DK,35.12,0,6,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
47862,Funko! POP VINYL Creepshow The Creep,Funko!,Stock,35.12,0,-6,-6.0,-6.0,-6,-6.0,-6,-6.0,-6,-6,-6,-6,-6.0
47865,Funko! POP Exclusive DBZ- Super Saiyan God Goku,Funko!,SalgsOrdre SE,50.77993,1134,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,1134.0
47866,Funko! POP Exclusive Naruto - Kaguya Otsutsuki,Funko!,Invoiced DK,47.49446,48,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,48.0
47866,Funko! POP Exclusive Naruto - Kaguya Otsutsuki,Funko!,Invoiced SE,47.49446,180,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,180.0
47866,Funko! POP Exclusive Naruto - Kaguya Otsutsuki,Funko!,SalgsOrdre SE,47.49446,168,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,168.0
47871,Funko! POP Convention EXC. Marvel Zombie Daredevil,Funko!,Invoiced DK,47.49444,60,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,60.0
47871,Funko! POP Convention EXC. Marvel Zombie Daredevil,Funko!,Invoiced SE,47.49444,120,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,120.0
47871,Funko! POP Convention EXC. Marvel Zombie Daredevil,Funko!,SalgsOrdre SE,47.49444,108,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,108.0
48037,"Funko! POP 10"" HP: Voldemort w. Nagini",Funko!,SalgsOrdre DK,89.9725,0,2,0.0,0.0,0,0.0,0,0.0,0,0,0,0,2.0
48037,"Funko! POP 10"" HP: Voldemort w. Nagini",Funko!,Stock,89.9725,8,6,6.0,6.0,6,6.0,6,6.0,6,6,6,6,6.0
48054,"Funko! POP 18"" Harry Potter",Funko!,Købsordre,329.91,0,33,0.0,0.0,0,0.0,0,0.0,0,0,0,0,33.0
